ATM_ID,Date,Location,Transactions,Withdrawal_Amount,Cash_Loaded,Cash_Remaining,Weekend_Flag,Salary_Week_Flag
ATM_017,2025-01-09,Ahmedabad,62,97340,690237,637039,0,0
ATM_018,2025-01-09,Rajkot,131,133882,799559,633140,0,0
ATM_019,2025-01-09,Anand,139,392953,476636,128989,0,0
ATM_020,2025-01-09,Vadodara,70,76930,342697,279258,0,0
ATM_001,2025-01-10,Rajkot,89,167676,350828,172701,0,0
ATM_002,2025-01-10,Ahmedabad,56,145992,399490,268581,0,0
ATM_003,2025-01-10,Ahmedabad,57,99522,585999,477478,0,0
ATM_004,2025-01-10,Anand,54,136782,836038,724646,0,0
ATM_005,2025-01-10,Ahmedabad,120,295200,834873,488300,0,0
ATM_006,2025-01-10,Ahmedabad,176,162096,610264,449950,0,0
ATM_007,2025-01-10,Rajkot,52,71760,417825,374966,0,0
ATM_008,2025-01-10,Rajkot,81,188973,609516,440616,0,0
ATM_009,2025-01-10,Rajkot,163,373270,559821,133088,0,0
ATM_010,2025-01-10,Anand,88,81048,522587,445875,0,0
ATM_011,2025-01-10,Ahmedabad,110,287430,551004,273630,0,0
ATM_012,2025-01-10,Rajkot,70,63630,393154,365055,0,0
ATM_013,2025-01-10,Ahmedabad,123,118203,778356,682115,0,0
ATM_014,2025-01-10,Vadodara,49,73157,528226,428627,0,0
ATM_015,2025-01-10,Anand,104,193440,628829,392403,0,0
ATM_016,2025-01-10,Ahmedabad,152,353856,637632,335589,0,0
ATM_017,2025-01-10,Ahmedabad,175,504000,313893,0,0,0
ATM_018,2025-01-10,Vadodara,156,244140,622942,362951,0,0
ATM_019,2025-01-10,Anand,101,229775,568624,381556,0,0
ATM_020,2025-01-10,Anand,172,464056,362196,0,0,0
ATM_001,2025-01-11,Vadodara,201,484410,889080,446796,1,0
ATM_002,2025-01-11,Rajkot,162,195858,428655,209498,1,0
ATM_003,2025-01-11,Surat,119,243355,502209,215635,1,0
ATM_004,2025-01-11,Vadodara,67,178689,663822,437816,1,0
ATM_005,2025-01-11,Vadodara,144,240768,500784,266741,1,0
ATM_006,2025-01-11,Surat,111,313575,685867,437710,1,0
ATM_007,2025-01-11,Surat,49,74088,376926,358031,1,0
ATM_008,2025-01-11,Vadodara,137,315648,616674,243466,1,0
ATM_009,2025-01-11,Rajkot,89,123354,652378,524009,1,0
ATM_010,2025-01-11,Vadodara,166,489534,333061,0,1,0
ATM_011,2025-01-11,Ahmedabad,199,399393,700981,307431,1,0
ATM_012,2025-01-11,Vadodara,203,225127,475006,191677,1,0
ATM_013,2025-01-11,Vadodara,211,399634,360666,0,1,0
ATM_014,2025-01-11,Surat,88,181456,885537,728623,1,0
ATM_015,2025-01-11,Vadodara,101,83123,871992,838270,1,0
ATM_016,2025-01-11,Surat,108,313956,589006,341274,1,0
ATM_017,2025-01-11,Vadodara,217,579824,547579,0,1,0
ATM_018,2025-01-11,Vadodara,159,327699,495432,175642,1,0
ATM_019,2025-01-11,Surat,50,105550,870169,731001,1,0
ATM_020,2025-01-11,Ahmedabad,168,340872,732998,381106,1,0
ATM_001,2025-01-12,Surat,127,317119,363251,58310,1,0
ATM_002,2025-01-12,Ahmedabad,45,129915,878607,795978,1,0
ATM_003,2025-01-12,Anand,214,482784,305507,0,1,0
ATM_004,2025-01-12,Anand,101,137663,814767,708656,1,0
ATM_005,2025-01-12,Vadodara,175,309925,684486,347452,1,0
ATM_006,2025-01-12,Rajkot,197,505502,352797,0,1,0
ATM_007,2025-01-12,Ahmedabad,210,463680,427486,5346,1,0
ATM_008,2025-01-12,Surat,160,349120,665328,313488,1,0
ATM_009,2025-01-12,Anand,116,235480,398842,104047,1,0
ATM_010,2025-01-12,Ahmedabad,205,450385,784835,336010,1,0
ATM_011,2025-01-12,Anand,199,453123,650766,262201,1,0
ATM_012,2025-01-12,Ahmedabad,44,117744,596112,452756,1,0
ATM_013,2025-01-12,Anand,217,590891,708306,173729,1,0
ATM_014,2025-01-12,Anand,187,143616,474428,323189,1,0
ATM_015,2025-01-12,Surat,55,129030,590328,514179,1,0
ATM_016,2025-01-12,Rajkot,59,149742,804305,714693,1,0
ATM_017,2025-01-12,Surat,200,393800,764640,371776,1,0
ATM_018,2025-01-12,Anand,166,406866,876788,419177,1,0
ATM_019,2025-01-12,Rajkot,107,223416,558317,332261,1,0
ATM_020,2025-01-12,Ahmedabad,200,217000,625334,343259,1,0
ATM_001,2025-01-13,Rajkot,182,501592,803315,246636,0,0
ATM_002,2025-01-13,Rajkot,149,312900,536394,246376,0,0
ATM_003,2025-01-13,Surat,178,152902,737332,531877,0,0
ATM_004,2025-01-13,Ahmedabad,94,212628,657309,391881,0,0
ATM_005,2025-01-13,Ahmedabad,197,420989,471083,34052,0,0
ATM_006,2025-01-13,Rajkot,160,318400,486622,224495,0,0
ATM_007,2025-01-13,Ahmedabad,173,498240,833552,265586,0,0
ATM_008,2025-01-13,Ahmedabad,172,125044,412829,298811,0,0
ATM_009,2025-01-13,Surat,56,146104,707326,627355,0,0
ATM_010,2025-01-13,Ahmedabad,115,315330,716835,449963,0,0
ATM_011,2025-01-13,Ahmedabad,103,275216,741842,476419,0,0
ATM_012,2025-01-13,Vadodara,72,215352,479393,275881,0,0
ATM_013,2025-01-13,Surat,193,256497,391641,140014,0,0
ATM_014,2025-01-13,Rajkot,157,164536,359957,139117,0,0
ATM_015,2025-01-13,Ahmedabad,217,388213,511592,140006,0,0
ATM_016,2025-01-13,Vadodara,114,206568,485285,280657,0,0
ATM_017,2025-01-13,Ahmedabad,154,348040,431577,104788,0,0
ATM_018,2025-01-13,Vadodara,142,299336,332317,0,0,0
ATM_019,2025-01-13,Rajkot,77,115038,474508,332797,0,0
ATM_020,2025-01-13,Vadodara,103,152131,717171,522932,0,0
ATM_001,2025-01-14,Rajkot,61,78141,398715,317620,0,0
ATM_002,2025-01-14,Anand,187,539682,533003,0,0,0
ATM_003,2025-01-14,Surat,42,33264,462983,393857,0,0
ATM_004,2025-01-14,Rajkot,176,500896,659376,127031,0,0
ATM_005,2025-01-14,Anand,215,306375,586556,343990,0,0
ATM_006,2025-01-14,Surat,165,198825,304909,104916,0,0
ATM_007,2025-01-14,Rajkot,87,149466,609042,524213,0,0
ATM_008,2025-01-14,Vadodara,68,192168,800423,660920,0,0
ATM_009,2025-01-14,Anand,165,178860,588153,340281,0,0
ATM_010,2025-01-14,Surat,121,180653,745138,570059,0,0
ATM_011,2025-01-14,Vadodara,90,225720,652125,468843,0,0
ATM_012,2025-01-14,Ahmedabad,128,108032,408416,329262,0,0
ATM_013,2025-01-14,Anand,88,250712,729622,417144,0,0
ATM_014,2025-01-14,Ahmedabad,99,243045,435519,194176,0,0
ATM_015,2025-01-14,Anand,171,438102,548966,108780,0,0
ATM_016,2025-01-14,Surat,88,114840,682974,534598,0,0
ATM_017,2025-01-14,Vadodara,107,138351,751389,602800,0,0
ATM_018,2025-01-14,Ahmedabad,65,137865,536816,416213,0,0
ATM_019,2025-01-14,Vadodara,50,125650,563153,367631,0,0
ATM_020,2025-01-14,Surat,75,155250,660186,455773,0,0
ATM_001,2025-01-15,Vadodara,186,514662,332299,0,0,0
ATM_002,2025-01-15,Surat,141,317391,305800,0,0,0
ATM_003,2025-01-15,Surat,133,353248,756542,441484,0,0
ATM_004,2025-01-15,Ahmedabad,43,54051,573009,524478,0,0
ATM_005,2025-01-15,Rajkot,206,160886,336546,139453,0,0
ATM_006,2025-01-15,Vadodara,141,314712,389827,14607,0,0
ATM_007,2025-01-15,Ahmedabad,105,213150,376779,229764,0,0
ATM_008,2025-01-15,Surat,174,407334,421152,20136,0,0
ATM_009,2025-01-15,Ahmedabad,58,47328,320647,215954,0,0
ATM_010,2025-01-15,Anand,170,385220,886558,550157,0,0
ATM_011,2025-01-15,Anand,59,139535,428883,257714,0,0
ATM_012,2025-01-15,Anand,46,42412,534219,495648,0,0
ATM_013,2025-01-15,Anand,80,161760,503942,397758,0,0
ATM_014,2025-01-15,Ahmedabad,114,148884,312723,226158,0,0
ATM_015,2025-01-15,Anand,109,128402,364747,193896,0,0
ATM_016,2025-01-15,Ahmedabad,123,200490,482588,279705,0,0
ATM_017,2025-01-15,Vadodara,106,305704,879152,584882,0,0
ATM_018,2025-01-15,Vadodara,205,586095,476449,0,0,0
ATM_019,2025-01-15,Surat,206,153470,811712,613226,0,0
ATM_020,2025-01-15,Ahmedabad,136,249288,447602,130464,0,0
ATM_001,2025-01-16,Anand,123,198276,473687,313195,0,0
ATM_002,2025-01-16,Ahmedabad,175,226275,628514,367119,0,0
ATM_003,2025-01-16,Anand,113,287359,849775,603425,0,0
ATM_004,2025-01-16,Ahmedabad,214,214856,672019,390983,0,0
ATM_005,2025-01-16,Ahmedabad,186,523032,888085,393782,0,0
ATM_006,2025-01-16,Surat,95,177840,589102,454132,0,0
ATM_007,2025-01-16,Anand,211,386763,502439,95609,0,0
ATM_008,2025-01-16,Rajkot,122,331596,635718,357681,0,0
ATM_009,2025-01-16,Surat,117,348543,419277,116740,0,0
ATM_010,2025-01-16,Vadodara,184,196512,665831,509047,0,0
ATM_011,2025-01-16,Vadodara,145,113680,871851,735506,0,0
ATM_012,2025-01-16,Ahmedabad,202,242602,541289,281085,0,0
ATM_013,2025-01-16,Rajkot,153,131580,503366,336612,0,0
ATM_014,2025-01-16,Vadodara,158,166374,802875,660914,0,0
ATM_015,2025-01-16,Anand,177,390993,818425,432982,0,0
ATM_016,2025-01-16,Vadodara,155,290315,438078,181981,0,0
ATM_017,2025-01-16,Vadodara,211,353636,672997,310207,0,0
ATM_018,2025-01-16,Anand,116,261696,687119,420704,0,0
ATM_019,2025-01-16,Surat,83,115868,626721,462367,0,0
ATM_020,2025-01-16,Ahmedabad,218,372998,716251,313297,0,0
ATM_001,2025-01-17,Vadodara,145,185455,408617,202622,0,0
ATM_002,2025-01-17,Rajkot,64,145472,816558,624928,0,0
ATM_003,2025-01-17,Rajkot,71,93010,602416,487989,0,0
ATM_004,2025-01-17,Vadodara,124,256184,578583,297263,0,0
ATM_005,2025-01-17,Rajkot,161,213003,307122,136886,0,0
ATM_006,2025-01-17,Rajkot,155,423615,350011,0,0,0
ATM_007,2025-01-17,Ahmedabad,49,40670,828137,819805,0,0
ATM_008,2025-01-17,Anand,68,129336,594337,494825,0,0
ATM_009,2025-01-17,Surat,148,306064,570369,283010,0,0
ATM_010,2025-01-17,Ahmedabad,152,406904,607170,166801,0,0
ATM_011,2025-01-17,Vadodara,63,187551,720153,570412,0,0
ATM_012,2025-01-17,Surat,176,392304,688907,289122,0,0
ATM_013,2025-01-17,Ahmedabad,61,130113,458135,318494,0,0
ATM_014,2025-01-17,Vadodara,136,209848,623242,435720,0,0
ATM_015,2025-01-17,Surat,208,160992,517695,316792,0,0
ATM_016,2025-01-17,Vadodara,172,212248,708657,561114,0,0
ATM_017,2025-01-17,Surat,81,188163,851212,619026,0,0
ATM_018,2025-01-17,Anand,172,165808,675325,519543,0,0
ATM_019,2025-01-17,Anand,77,101178,362930,212176,0,0
ATM_020,2025-01-17,Surat,122,85766,640091,505132,0,0
ATM_001,2025-01-18,Surat,133,294595,322118,21403,1,0
ATM_002,2025-01-18,Surat,187,238238,795474,598897,1,0
ATM_003,2025-01-18,Ahmedabad,126,358344,791443,470639,1,0
ATM_004,2025-01-18,Vadodara,171,373464,412199,442,1,0
ATM_005,2025-01-18,Rajkot,71,159892,587526,396166,1,0
ATM_006,2025-01-18,Vadodara,118,88736,879064,803675,1,0
ATM_007,2025-01-18,Ahmedabad,43,66392,568210,540251,1,0
ATM_008,2025-01-18,Surat,149,337187,494829,106961,1,0
ATM_009,2025-01-18,Ahmedabad,181,180819,714828,561191,1,0
ATM_010,2025-01-18,Vadodara,173,499624,818312,371269,1,0
ATM_011,2025-01-18,Anand,167,485302,474650,0,1,0
ATM_012,2025-01-18,Rajkot,188,162620,886628,677052,1,0
ATM_013,2025-01-18,Rajkot,60,56940,771468,763235,1,0
ATM_014,2025-01-18,Ahmedabad,83,68226,549603,528407,1,0
ATM_015,2025-01-18,Ahmedabad,76,215080,606185,363280,1,0
ATM_016,2025-01-18,Anand,81,57834,749332,733823,1,0
ATM_017,2025-01-18,Anand,114,316464,812510,461059,1,0
ATM_018,2025-01-18,Rajkot,148,117956,696383,636957,1,0
ATM_019,2025-01-18,Vadodara,151,247187,427580,184700,1,0
ATM_020,2025-01-18,Vadodara,174,225330,619289,451065,1,0
ATM_001,2025-01-19,Vadodara,120,94920,875955,780268,1,0
ATM_002,2025-01-19,Ahmedabad,71,72491,637739,557987,1,0
ATM_003,2025-01-19,Rajkot,188,172020,804271,689157,1,0
ATM_004,2025-01-19,Vadodara,86,119110,525456,359031,1,0
ATM_005,2025-01-19,Surat,166,438904,577589,154760,1,0
ATM_006,2025-01-19,Ahmedabad,94,208586,561195,309755,1,0
ATM_007,2025-01-19,Anand,199,521778,492772,0,1,0
ATM_008,2025-01-19,Rajkot,128,142976,873203,795435,1,0
ATM_009,2025-01-19,Anand,169,464243,611056,148554,1,0
ATM_010,2025-01-19,Ahmedabad,178,441440,692624,278359,1,0
ATM_011,2025-01-19,Vadodara,84,234864,810053,625405,1,0
ATM_012,2025-01-19,Ahmedabad,151,309248,341025,18508,1,0
ATM_013,2025-01-19,Vadodara,49,117159,730547,575913,1,0
ATM_014,2025-01-19,Ahmedabad,92,104604,332654,268694,1,0
ATM_015,2025-01-19,Vadodara,182,534534,889680,363147,1,0
ATM_016,2025-01-19,Surat,47,34921,464893,394067,1,0
ATM_017,2025-01-19,Vadodara,64,126336,790424,677658,1,0
ATM_018,2025-01-19,Rajkot,134,173530,354836,173319,1,0
ATM_019,2025-01-19,Anand,217,629734,792111,216558,1,0
ATM_020,2025-01-19,Ahmedabad,169,374504,714259,389731,1,0
ATM_001,2025-01-20,Vadodara,60,105360,308412,232351,0,0
ATM_002,2025-01-20,Anand,174,311112,605906,291329,0,0
ATM_003,2025-01-20,Anand,137,279343,774194,477978,0,0
ATM_004,2025-01-20,Rajkot,176,390544,615276,196056,0,0
ATM_005,2025-01-20,Vadodara,107,311049,545846,294810,0,0
ATM_006,2025-01-20,Ahmedabad,209,389158,680341,236696,0,0
ATM_007,2025-01-20,Ahmedabad,178,161802,424045,231328,0,0
ATM_008,2025-01-20,Vadodara,44,64988,749765,744582,0,0
ATM_009,2025-01-20,Rajkot,192,298176,604045,298331,0,0
ATM_010,2025-01-20,Ahmedabad,121,157905,631721,472270,0,0
ATM_011,2025-01-20,Vadodara,129,301731,379562,105832,0,0
ATM_012,2025-01-20,Ahmedabad,116,136996,631200,445666,0,0
ATM_013,2025-01-20,Anand,212,416368,883258,533753,0,0
ATM_014,2025-01-20,Surat,43,82689,535534,476508,0,0
ATM_015,2025-01-20,Rajkot,79,182253,548281,335288,0,0
ATM_016,2025-01-20,Vadodara,143,275132,675894,436341,0,0
ATM_017,2025-01-20,Anand,125,344750,594766,286539,0,0
ATM_018,2025-01-20,Ahmedabad,187,152031,408420,266425,0,0
ATM_019,2025-01-20,Surat,171,493677,511058,85909,0,0
ATM_020,2025-01-20,Anand,215,525030,566076,92824,0,0
ATM_001,2025-01-21,Anand,148,161468,337086,219439,0,0
ATM_002,2025-01-21,Surat,163,168379,315548,195611,0,0
ATM_003,2025-01-21,Rajkot,72,135144,487138,299252,0,0
ATM_004,2025-01-21,Rajkot,56,155176,432393,293345,0,0
ATM_005,2025-01-21,Ahmedabad,106,225886,376532,157642,0,0
ATM_006,2025-01-21,Vadodara,132,218064,820276,631549,0,0
ATM_007,2025-01-21,Rajkot,98,156898,499972,352737,0,0
ATM_008,2025-01-21,Vadodara,45,103905,749923,681527,0,0
ATM_009,2025-01-21,Anand,200,193200,722259,545373,0,0
ATM_010,2025-01-21,Ahmedabad,88,71808,794850,762872,0,0
ATM_011,2025-01-21,Anand,110,245740,850639,590498,0,0
ATM_012,2025-01-21,Vadodara,143,327470,549496,284455,0,0
ATM_013,2025-01-21,Surat,57,49761,622323,541563,0,0
